﻿platform_id,seq,lat,lon,alt,speed
red_ddg_1,1,30.25,124.75,0m,15节
red_ddg_1,2,29.8,125.2,0m,25节
red_ddg_1,3,29.4,125.7,0m,25节
red_ddg_1,4,29.2,126.1,0m,20节
red_ddg_1,5,29.0,126.0,0m,20节
red_ddg_1,6,29.3,125.5,0m,25节
red_ddg_1,7,29.7,125.0,0m,25节
red_ddg_1,8,30.1,124.6,0m,15节
red_ddg_2,1,29.75,125.25,0,20
red_ddg_2,2,29.5,125.5,0,25
red_ddg_2,3,29.25,125.75,0,25
red_ddg_2,4,29.0,126.0,0,20
red_ddg_2,5,28.75,126.25,0,15
red_ddg_2,6,28.5,126.5,0,10
red_sub_1,1,30.0,126.0,60,5
red_sub_1,2,29.8,126.1,60,5
red_sub_1,3,29.6,126.2,60,5
red_sub_1,4,29.4,126.3,60,5
red_sub_1,5,29.2,126.4,60,0
red_sub_1,6,29.0,126.5,60,8
red_sub_1,7,29.2,126.6,60,8
red_sub_1,8,29.5,126.5,60,5
red_ac_1,1,29.0,123.5,7620,200
red_ac_1,2,29.1,123.6,5000,250
red_ac_1,3,28.8,125.0,100,300
red_ac_1,4,28.833333333333332,126.33333333333333,100,300
red_ac_1,5,28.5,126.66666666666667,100,300
red_ac_1,6,28.166666666666668,126.83333333333333,100,300
red_ac_1,7,28.0,127.0,5000,400
red_ac_1,8,29.0,124.0,5000,350
red_ew_1,1,28.5,124.0,9144,250
red_ew_1,2,28.8,125.5,9144,250
red_ew_1,3,29.1,126.3,8000,220
red_ew_1,4,29.3,126.6,8000,220
red_ew_1,5,29.0,126.9,8000,220
red_ew_1,6,28.2,125.0,9144,250
